timestamp,load_kwh,hourly_kwh,is_outlier_mad,hourly_kwh_clean
2024-01-01 00:00:00,35887.0,,False,
2024-01-01 01:00:00,35918.0,31.0,False,31.0
2024-01-01 02:00:00,35942.0,24.0,False,24.0
2024-01-01 03:00:00,35967.0,25.0,False,25.0
2024-01-01 04:00:00,35990.0,23.0,False,23.0
2024-01-01 05:00:00,36010.0,20.0,False,20.0
2024-01-01 06:00:00,36037.0,27.0,False,27.0
2024-01-01 07:00:00,36064.0,27.0,False,27.0
2024-01-01 08:00:00,36092.0,28.0,False,28.0
2024-01-01 09:00:00,36117.0,25.0,False,25.0
2024-01-01 10:00:00,36142.0,25.0,False,25.0
2024-01-01 11:00:00,36172.0,30.0,False,30.0
2024-01-01 12:00:00,36204.0,32.0,False,32.0
2024-01-01 13:00:00,36236.0,32.0,False,32.0
2024-01-01 14:00:00,36275.0,39.0,False,39.0
2024-01-01 15:00:00,36313.0,38.0,False,38.0
2024-01-01 16:00:00,36350.0,37.0,False,37.0
2024-01-01 17:00:00,36391.0,41.0,False,41.0
2024-01-01 18:00:00,36436.0,45.0,False,45.0
2024-01-01 19:00:00,36483.0,47.0,False,47.0
2024-01-01 20:00:00,36532.0,49.0,False,49.0
2024-01-01 21:00:00,36580.0,48.0,False,48.0
2024-01-01 22:00:00,36631.0,51.0,False,51.0
2024-01-01 23:00:00,36684.0,53.0,False,53.0
2024-01-02 00:00:00,36725.0,41.0,False,41.0
2024-01-02 01:00:00,36753.0,28.0,False,28.0
2024-01-02 02:00:00,36783.0,30.0,False,30.0
2024-01-02 03:00:00,36809.0,26.0,False,26.0
2024-01-02 04:00:00,36834.0,25.0,False,25.0
2024-01-02 05:00:00,36858.0,24.0,False,24.0
2024-01-02 06:00:00,36882.0,24.0,False,24.0
2024-01-02 07:00:00,36908.0,26.0,False,26.0
2024-01-02 08:00:00,36942.0,34.0,False,34.0
2024-01-02 09:00:00,36995.0,53.0,False,53.0
2024-01-02 10:00:00,37077.0,82.0,False,82.0
2024-01-02 11:00:00,37175.0,98.0,False,98.0
2024-01-02 12:00:00,37271.0,96.0,False,96.0
2024-01-02 13:00:00,37348.0,77.0,False,77.0
2024-01-02 14:00:00,37432.0,84.0,False,84.0
2024-01-02 15:00:00,37510.0,78.0,False,78.0
2024-01-02 16:00:00,37587.0,77.0,False,77.0
2024-01-02 17:00:00,37675.0,88.0,False,88.0
2024-01-02 18:00:00,37751.0,76.0,False,76.0
2024-01-02 19:00:00,37819.0,68.0,False,68.0
2024-01-02 20:00:00,37889.0,70.0,False,70.0
2024-01-02 21:00:00,37952.0,63.0,False,63.0
2024-01-02 22:00:00,38008.0,56.0,False,56.0
2024-01-02 23:00:00,38046.0,38.0,False,38.0
2024-01-03 00:00:00,38080.0,34.0,False,34.0
2024-01-03 01:00:00,38106.0,26.0,False,26.0
2024-01-03 02:00:00,38139.0,33.0,False,33.0
2024-01-03 03:00:00,38169.0,30.0,False,30.0
2024-01-03 04:00:00,38194.0,25.0,False,25.0
2024-01-03 05:00:00,38221.0,27.0,False,27.0
2024-01-03 06:00:00,38246.0,25.0,False,25.0
2024-01-03 07:00:00,38271.0,25.0,False,25.0
2024-01-03 08:00:00,38301.0,30.0,False,30.0
2024-01-03 09:00:00,38357.0,56.0,False,56.0
2024-01-03 10:00:00,38438.0,81.0,False,81.0
2024-01-03 11:00:00,38521.0,83.0,False,83.0
2024-01-03 12:00:00,38606.0,85.0,False,85.0
2024-01-03 13:00:00,38675.0,69.0,False,69.0
2024-01-03 14:00:00,38755.0,80.0,False,80.0
2024-01-03 15:00:00,38839.0,84.0,False,84.0
2024-01-03 16:00:00,38931.0,92.0,False,92.0
2024-01-03 17:00:00,39021.0,90.0,False,90.0
2024-01-03 18:00:00,39101.0,80.0,False,80.0
2024-01-03 19:00:00,39167.0,66.0,False,66.0
2024-01-03 20:00:00,39234.0,67.0,False,67.0
2024-01-03 21:00:00,39305.0,71.0,False,71.0
2024-01-03 22:00:00,39370.0,65.0,False,65.0
2024-01-03 23:00:00,39419.0,49.0,False,49.0
2024-01-04 00:00:00,39453.0,34.0,False,34.0
2024-01-04 01:00:00,39485.0,32.0,False,32.0
2024-01-04 02:00:00,39516.0,31.0,False,31.0
2024-01-04 03:00:00,39548.0,32.0,False,32.0
2024-01-04 04:00:00,39575.0,27.0,False,27.0
2024-01-04 05:00:00,39599.0,24.0,False,24.0
2024-01-04 06:00:00,39624.0,25.0,False,25.0
