HORIZON,策略,step,MAE,RMSE,CV-RMSE,MAPE,R2
1,目标域训练,1,9.086326,13.8608265,11.729635,7.488016121545173,0.8833085
1,全层微调,1,6.243055,10.500122,8.885661,5.093811278997912,0.9330347
3,目标域训练,1,11.697501,16.278065,13.805239,9.327684379552876,0.83908916
3,目标域训练,2,12.192327,16.922598,14.313775,9.7266157864465,0.82595706
3,目标域训练,3,12.997712,17.887838,15.095995,10.332368198276107,0.80500555
3,全层微调,1,10.097155,14.670761,12.442103,8.181938624383761,0.86929715
3,全层微调,2,10.888666,15.653692,13.240488,8.845786506467519,0.851079
3,全层微调,3,11.462069,16.35503,13.802422,9.291242200412999,0.8369919
6,目标域训练,1,12.1385565,17.261333,14.723314,9.776671919360371,0.81536835
6,目标域训练,2,12.674679,17.8953,15.203719,10.204794551588591,0.803935
6,目标域训练,3,13.446042,18.793709,15.917015,10.703255146958764,0.7844484
6,目标域训练,4,13.271877,18.55062,15.667778,10.564051325658275,0.7900105
6,目标域训练,5,12.951034,18.100042,15.249745,10.28997626978996,0.8001847
6,目标域训练,6,13.9815645,19.265314,16.200132,11.048955866468821,0.77346075
6,全层微调,1,10.1842785,15.107424,12.886106,8.055796722441496,0.85857105
6,全层微调,2,11.260057,16.41611,13.947008,8.964581120406862,0.83500814
6,全层微调,3,11.702638,17.012693,14.408614,9.347076806736023,0.82336676
6,全层微调,4,11.9585705,17.44898,14.737339,9.554595079451673,0.81421065
6,全层微调,5,11.908024,17.609377,14.836348,9.421534800230285,0.81087124
6,全层微调,6,12.241265,18.137384,15.25166,9.574415669761095,0.7992107
