timestamp,hourly_kwh_clean,温度(℃),风力(级),风速(km/h),气压(hPa),湿度(%),能见度(km),云量%,是否降水,降水量对数变换,天气状况_中雨,天气状况_中雪,天气状况_多云,天气状况_大雨,天气状况_大雪,天气状况_大雾,天气状况_小雨,天气状况_小雪,天气状况_扬沙,天气状况_晴,天气状况_暴雨,天气状况_暴雪,天气状况_沙尘暴,天气状况_浮尘,天气状况_阴,天气状况_雨,天气状况_雾,天气状况_霾,风向_东北风,风向_东南风,风向_东风,风向_北风,风向_南风,风向_微风,风向_西北风,风向_西南风,风向_西风,风向_静风,is_holiday,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos
2024-01-01 00:00:00,,-1.358843739366158,-0.6847347267836711,-0.20167454874431426,1.3618740934191707,-0.5635921710752801,-0.7574041350643129,-0.1821917259484411,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.0,1.0,0.0,1.0,0.0,1.0
2024-01-01 01:00:00,-0.5133696797042304,-1.3860045819990876,-0.6847347267836711,-0.6883038515059212,1.3618740934191707,-0.5148219870265931,-0.552728321174564,-0.32575210271945754,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.2588190451,0.9659258263,0.0,1.0,0.0,1.0
2024-01-01 02:00:00,-0.5133696797042304,-1.376950967788111,0.7111115848517592,1.2582133595405067,1.3618740934191707,-0.5635921710752801,-0.245714600339941,-0.1821917259484411,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.5,0.8660254038,0.0,1.0,0.0,1.0
2024-01-01 03:00:00,-0.5133696797042304,-1.4222190388429936,0.7111115848517592,0.5282694053980962,1.4728052975032895,-0.36851143488053184,-0.7232914994160213,-0.3831762534278641,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.7071067812,0.7071067812,0.0,1.0,0.0,1.0
2024-01-01 04:00:00,-0.5133696797042304,-1.4041118104210406,0.7111115848517592,0.5282694053980962,1.4728052975032895,-0.4172816189292189,-0.8483711634597568,-0.12476757524003453,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.8660254038,0.5,0.0,1.0,0.0,1.0
2024-01-01 05:00:00,-0.5133696797042304,-1.4403262672649466,0.7111115848517592,0.04164010263648922,1.3618740934191707,-0.2709710667831577,-0.9279673133057702,0.621746383969251,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.9659258263,0.2588190451,0.0,1.0,0.0,1.0
2024-01-01 06:00:00,-0.5133696797042304,-1.4674871098978761,0.7111115848517592,0.04164010263648922,1.3618740934191707,-0.17343069868578356,-1.246351912689824,0.8514429868028772,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.0,0.0,0.0,1.0,0.0,1.0
2024-01-01 07:00:00,-0.5133696797042304,-1.4584334956868994,0.7111115848517592,1.0148987081597032,1.4728052975032895,-0.3197412508318448,-1.041676098800075,0.6504584593234543,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.9659258263,-0.2588190451,0.0,1.0,0.0,1.0
2024-01-01 08:00:00,-0.44533702557189936,-1.4584334956868994,-0.6847347267836711,-0.20167454874431426,1.583736501587408,-0.2709710667831577,-1.0189343417012142,0.30591355507301476,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.8660254038,-0.5,0.0,1.0,0.0,1.0
2024-01-01 09:00:00,-0.5133696797042304,-1.4584334956868994,-0.6847347267836711,-0.20167454874431426,1.694667705671527,-0.2709710667831577,-0.9848217060529226,0.2772014797188115,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,0.7071067812,-0.7071067812,0.0,1.0,0.0,1.0
2024-01-01 10:00:00,-0.37730437143956835,-1.4584334956868994,-0.6847347267836711,-0.6883038515059212,1.694667705671527,-0.07589033058840942,-1.0530469773495055,0.30591355507301476,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,0.5,-0.8660254038,0.0,1.0,0.0,1.0
2024-01-01 11:00:00,-0.30927171730723735,-1.4041118104210406,-0.6847347267836711,-0.4449892001251177,1.694667705671527,-0.2709710667831577,-1.041676098800075,1.0524275142823003,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,0.2588190451,-0.9659258263,0.0,1.0,0.0,1.0
2024-01-01 12:00:00,-0.37730437143956835,-1.3316828967332286,0.7111115848517592,0.04164010263648922,1.583736501587408,-0.36851143488053184,-1.1212722486460884,1.3969724185327397,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,0.0,-1.0,0.0,1.0,0.0,1.0
2024-01-01 13:00:00,-0.17320640904257534,-1.2320931404124875,0.7111115848517592,0.5282694053980962,1.3618740934191707,-0.6123623551239672,-1.0075634631517836,0.10492902759359177,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.2588190451,-0.9659258263,0.0,1.0,0.0,1.0
2024-01-01 14:00:00,0.030891553354417695,-1.1053425414588167,0.7111115848517592,0.2849547540172927,1.2509428893350518,-0.9049834594160896,-0.9279673133057702,-0.32575210271945754,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.5,-0.8660254038,0.0,1.0,0.0,1.0
2024-01-01 15:00:00,0.09892420748674871,-1.0148063993490517,0.7111115848517592,0.7715840567788996,1.140011685250933,-0.9537536434647766,-0.6209535924711471,0.16235317830199833,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.7071067812,-0.7071067812,0.0,1.0,0.0,1.0
2024-01-01 16:00:00,0.23498951575141072,-0.94237748566124,0.7111115848517592,0.5282694053980962,1.140011685250933,-1.0025238275134638,-0.5868409568228556,0.7940188360944707,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.8660254038,-0.5,0.0,1.0,0.0,1.0
2024-01-01 17:00:00,0.23498951575141072,-1.0238600135600282,0.7111115848517592,1.0148987081597032,1.140011685250933,-0.8562132753674025,-0.7801458921631738,1.023715438928097,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-0.9659258263,-0.2588190451,0.0,1.0,0.0,1.0
2024-01-01 18:00:00,0.23498951575141072,-1.1053425414588167,-0.6847347267836711,-0.20167454874431426,1.140011685250933,-0.7586729072700283,-0.7460332565148824,1.2821241171159266,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,-1.0,-0.0,0.0,1.0,0.0,1.0
2024-01-01 19:00:00,0.23498951575141072,-1.114396155669793,-0.6847347267836711,-0.4449892001251177,1.140011685250933,-0.7099027232213413,-0.552728321174564,1.31083619247013,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.9659258263,0.2588190451,0.0,1.0,0.0,1.0
2024-01-01 20:00:00,0.23498951575141072,-1.186825069357605,-0.6847347267836711,-0.6883038515059212,1.140011685250933,-0.6611325391726542,-0.5299865640757032,1.7702293981373824,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,-0.8660254038,0.5,0.0,1.0,0.0,1.0
2024-01-01 21:00:00,0.16695686161907972,-1.2683075972563933,-0.6847347267836711,-0.20167454874431426,1.140011685250933,-0.466051802977906,-0.8597420420091874,1.827653548845789,False,-0.1772473879788724,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,-0.7071067812,0.7071067812,0.0,1.0,0.0,1.0
2024-01-01 22:00:00,0.030891553354417695,-1.3860045819990876,-0.6847347267836711,-0.4449892001251177,1.2509428893350518,-0.3197412508318448,-0.9734508275034922,1.5118207199495528,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,-0.5,0.8660254038,0.0,1.0,0.0,1.0
2024-01-01 23:00:00,-0.30927171730723735,-1.449379881475923,-0.6847347267836711,-0.4449892001251177,1.2509428893350518,0.02165003750896471,-0.9393381918552006,1.0524275142823003,False,-0.1772473879788724,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,-0.2588190451,0.9659258263,0.0,1.0,0.0,1.0
