seed,策略,hidden_size,num_layers,MAE,RMSE,CV-RMSE,MAPE,R2,best_epoch,best_val_loss,epochs
7,源域直测,256,2,11.152739524841309,16.311817140281114,13.803770276243116,9.081668305215732,0.8383909463882446,,,0
7,目标域训练,256,2,8.674239158630371,12.658595943845086,10.71225534996459,7.171146433197033,0.9026732444763184,21.0,0.26551621016539656,27
7,全层微调,256,2,6.617847919464111,11.022118611857143,9.327396939723027,5.382531713285919,0.9262110590934753,25.0,0.20197893946100912,31
7,固定时序表征微调,256,2,8.007410049438477,13.216168090601126,11.184097190763909,6.432814660874634,0.8939105272293091,83.0,0.3529532892502092,89
7,固定特征回归,256,2,6.799858570098877,10.975167073779026,9.287664502792618,5.506214086118157,0.9268383979797363,31.0,0.20359688948730692,37
21,源域直测,256,2,12.496862411499023,17.989196926341307,15.223242125005498,10.012085884596472,0.8034447431564331,,,0
21,目标域训练,256,2,9.256651878356934,13.683859144942732,11.579877735559434,7.560343585527278,0.8862691521644592,16.0,0.2852340107631994,22
21,全层微调,256,2,6.3319549560546875,10.34399155625709,8.753536283175293,5.1393655677162196,0.9350113868713379,18.0,0.18795057640984314,24
21,固定时序表征微调,256,2,8.37622356414795,13.773475720487243,11.655715185864416,6.806500106763634,0.8847746253013611,70.0,0.34781202644789255,76
21,固定特征回归,256,2,6.866694450378418,11.272782040348302,9.539519252877392,5.474250624546225,0.9228166937828064,29.0,0.21182576947957762,35
84,源域直测,256,2,12.263833999633789,18.238980245359798,15.434619651182778,9.78097123838308,0.7979484796524048,,,0
84,目标域训练,256,2,9.848416328430176,14.241152509705367,12.051483658891003,7.690143734360692,0.8768168687820435,8.0,0.37102064830084186,14
84,全层微调,256,2,6.406955242156982,10.5693550211905,8.944248664993065,5.148502300046055,0.9321486949920654,32.0,0.19426040793086496,38
84,固定时序表征微调,256,2,7.978520393371582,12.431753393292542,10.520291301460647,6.605858089889129,0.9061301946640015,84.0,0.3480807853444003,90
84,固定特征回归,256,2,6.720890998840332,11.390832634853098,9.639418808733376,5.452815359193453,0.9211916923522949,28.0,0.20341840794109756,34
2024,源域直测,256,2,11.903909683227539,17.845033509278306,15.101244761115137,9.240921088929817,0.806582510471344,,,0
2024,目标域训练,256,2,9.322015762329102,13.748403005624985,11.634497562273866,7.671199640988946,0.8851937055587769,19.0,0.28265736555431875,25
2024,全层微调,256,2,6.623199462890625,10.755266540714665,9.101575091910982,5.394201089284399,0.9297407865524292,19.0,0.18986765132664857,25
2024,固定时序表征微调,256,2,7.895579814910889,12.35734578099102,10.457324338419014,6.597829192338104,0.9072505235671997,62.0,0.308862653733853,68
2024,固定特征回归,256,2,6.823114395141602,11.251177916849487,9.521236902405182,5.49437941680989,0.9231122732162476,18.0,0.21114083027606678,24
42,源域直测,256,2,12.171021461486816,17.584302733879404,14.880603020430987,9.84292315938497,0.8121931552886963,,,0
42,目标域训练,256,2,9.086325645446777,13.860826556067384,11.729635268306277,7.488016121545173,0.883308470249176,19.0,0.28112990236825974,25
42,全层微调,256,2,6.2430548667907715,10.500122069602929,8.885660725277807,5.093811278997912,0.9330347180366516,13.0,0.19091403523174869,19
42,固定时序表征微调,256,2,8.470977783203125,13.130265986936262,11.111403088381678,6.915340764343101,0.8952851891517639,50.0,0.35665909640175514,56
42,固定特征回归,256,2,6.646951198577881,11.014290283722396,9.320772267420132,5.250467307013168,0.9263158440589905,16.0,0.214133548959847,22
