时间,天气状况,温度(℃),降水量(mm),风向,风力(级),风速(km/h),气压(hPa),湿度(%),能见度(km),云量%
2024-01-01 00:00,晴,4.1,0,北风,1,5,978,50,10,24
2024-01-01 01:00,晴,3.8,0,北风,1,3,978,51,11.8,19
2024-01-01 02:00,晴,3.9,0,东北风,2,11,978,50,14.5,24
2024-01-01 03:00,晴,3.4,0,东北风,2,8,979,54,10.3,17
2024-01-01 04:00,晴,3.6,0,东北风,2,8,979,53,9.2,26
2024-01-01 05:00,多云,3.2,0,东北风,2,6,978,56,8.5,52
2024-01-01 06:00,多云,2.9,0,东北风,2,6,978,58,5.7,60
2024-01-01 07:00,多云,3,0,东北风,2,10,979,55,7.5,53
2024-01-01 08:00,多云,3,0,东北风,1,5,980,56,7.7,41
2024-01-01 09:00,多云,3,0,西北风,1,5,981,56,8,40
2024-01-01 10:00,多云,3,0,南风,1,3,981,60,7.4,41
2024-01-01 11:00,多云,3.6,0,西南风,1,4,981,56,7.5,67
2024-01-01 12:00,多云,4.4,0,西风,2,6,980,54,6.8,79
2024-01-01 13:00,多云,5.5,0,西风,2,8,978,49,7.8,34
2024-01-01 14:00,晴,6.9,0,西南风,2,7,977,43,8.5,19
2024-01-01 15:00,多云,7.9,0,西风,2,9,976,42,11.2,36
2024-01-01 16:00,多云,8.7,0,西南风,2,8,976,41,11.5,58
2024-01-01 17:00,多云,7.8,0,西南风,2,10,976,44,9.8,66
2024-01-01 18:00,多云,6.9,0,西南风,1,5,976,46,10.1,75
2024-01-01 19:00,多云,6.8,0,西风,1,4,976,47,11.8,76
2024-01-01 20:00,阴,6,0,西风,1,3,976,48,12,92
2024-01-01 21:00,阴,5.1,0,西北风,1,5,976,52,9.1,94
2024-01-01 22:00,多云,3.8,0,西北风,1,4,977,55,8.1,83
2024-01-01 23:00,多云,3.1,0,西北风,1,4,977,62,8.4,67
2024-01-02 00:00,晴,2.2,0,东北风,1,5,977,64,7.7,7
2024-01-02 01:00,晴,1.4,0,北风,1,4,976,69,6.8,10
2024-01-02 02:00,,,,,,,,,,
2024-01-02 03:00,,,,,,,,,,
2024-01-02 04:00,,,,,,,,,,
2024-01-02 05:00,,,,,,,,,,
2024-01-02 06:00,,,,,,,,,,
2024-01-02 07:00,,,,,,,,,,
2024-01-02 08:00,晴,0.9,0,西南风,2,8,979,74,5.3,0
2024-01-02 09:00,晴,1.4,0,西南风,2,8,979,74,5.3,0
2024-01-02 10:00,晴,3.7,0,西南风,2,8,980,69,5,0
2024-01-02 11:00,晴,5.5,0,西南风,2,11,981,56,5.7,0
2024-01-02 12:00,晴,7.7,0,西南风,2,11,981,56,5.7,0
2024-01-02 13:00,晴,10.1,0,西南风,3,14,979,42,10,0
2024-01-02 14:00,晴,12.9,0,西南风,3,16,977,34,12.2,0
2024-01-02 15:00,晴,14.2,0,西风,3,14,976,16,27.2,0
2024-01-02 16:00,晴,13,0,西风,4,21,976,16,26.9,0
2024-01-02 17:00,晴,12.2,0,西北风,4,20,976,17,26.4,0
2024-01-02 18:00,晴,10.8,0,西北风,4,20,976,17,26.4,0
2024-01-02 19:00,晴,9.6,0,西风,2,9,978,20,28.8,0
2024-01-02 20:00,晴,8.5,0,西风,2,9,978,20,28.8,0
2024-01-02 21:00,晴,7,0,西北风,2,6,979,25,22.5,0
2024-01-02 22:00,晴,5.9,0,西南风,1,5,979,27,20.9,0
2024-01-02 23:00,晴,5.2,0,南风,1,4,979,33,17.8,0
2024-01-03 00:00,晴,3,0,南风,1,4,979,33,17.8,0
2024-01-03 01:00,晴,2,0,东风,1,4,979,38,18.4,0
2024-01-03 02:00,晴,1.3,0,东北风,1,5,979,45,16.9,0
2024-01-03 03:00,晴,0.3,0,东北风,1,5,979,48,16.5,0
2024-01-03 04:00,晴,-0.1,0,东北风,1,3,979,53,15.8,0
2024-01-03 05:00,晴,-1.2,0,北风,1,3,979,57,16.1,0
2024-01-03 06:00,晴,-1.3,0,北风,1,5,979,51,20.6,0
2024-01-03 07:00,晴,-2.1,0,东北风,1,3,979,51,26.4,0
2024-01-03 08:00,晴,-2.1,0,东北风,1,5,979,57,21.5,0
2024-01-03 09:00,晴,0.7,0,东北风,1,4,979,57,14.6,0
2024-01-03 10:00,晴,3.1,0,东北风,2,7,979,51,12.9,0
2024-01-03 11:00,晴,4.7,0,东北风,2,9,978,39,12.6,0
2024-01-03 12:00,晴,6.3,0,东北风,2,10,977,33,19.8,0
2024-01-03 13:00,晴,7.5,0,东北风,2,12,975,31,21.6,0
2024-01-03 14:00,晴,8.3,0,东北风,2,11,974,29,23.6,0
2024-01-03 15:00,晴,8.8,0,东风,2,12,973,29,21.4,0
2024-01-03 16:00,晴,8.7,0,东风,2,10,972,29,21.4,0
2024-01-03 17:00,晴,7.5,0,东北风,2,11,972,33,19,0
2024-01-03 18:00,晴,6.3,0,东北风,2,7,972,40,14.9,0
2024-01-03 19:00,晴,4.4,0,东北风,2,8,971,44,12.7,0
2024-01-03 20:00,晴,3.1,0,北风,1,3,971,46,13.4,0
2024-01-03 21:00,晴,3.5,0,西北风,2,6,972,49,11.7,0
2024-01-03 22:00,晴,2.8,0,西风,2,6,972,44,13,0
2024-01-03 23:00,晴,1.7,0,西风,1,5,972,49,13.5,0
2024-01-04 00:00,晴,1,0,西风,1,5,972,49,14.4,0
2024-01-04 01:00,晴,2.2,0,西南风,2,7,972,50,13.7,0
2024-01-04 02:00,晴,1.8,0,西南风,2,9,971,55,11.7,0
2024-01-04 03:00,晴,0.3,0,西南风,1,5,971,56,10.6,0
2024-01-04 04:00,晴,1.3,0,西南风,2,9,970,54,9.2,0
2024-01-04 05:00,晴,0.5,0,西南风,1,5,970,59,8.1,0
2024-01-04 06:00,晴,0,0,西南风,1,5,970,60,8,0
2024-01-04 07:00,晴,0.1,0,西南风,2,6,971,61,8.1,0
2024-01-04 08:00,晴,-1,0,西北风,1,5,972,65,7.4,0
2024-01-04 09:00,晴,1.2,0,西南风,2,8,972,59,7.9,0
2024-01-04 10:00,晴,3.9,0,西风,3,14,973,50,9.3,0
2024-01-04 11:00,晴,5.9,0,西南风,2,8,972,44,10.7,0
2024-01-04 12:00,晴,7.8,0,西南风,2,8,971,36,12.3,0
2024-01-04 13:00,晴,10.4,0,南风,2,8,970,32,14.5,0
2024-01-04 14:00,晴,10.9,0,西南风,2,7,969,33,16.3,0
2024-01-04 15:00,晴,12.7,0,西风,1,4,969,30,16.9,0
2024-01-04 16:00,晴,12.2,0,西北风,1,4,968,29,17.3,0
2024-01-04 17:00,晴,10.1,0,静风,0,0,969,29,16.9,0
2024-01-04 18:00,晴,7.5,0,静风,0,0,969,29,16.9,0
2024-01-04 19:00,晴,7.3,0,东北风,1,5,971,45,12.7,0
2024-01-04 20:00,晴,6.3,0,东北风,1,5,971,49,9.2,0
2024-01-04 21:00,晴,4.5,0,北风,1,5,972,55,8.3,0
2024-01-04 22:00,晴,4.2,0,东北风,2,8,973,57,7.5,0
2024-01-04 23:00,晴,2.6,0,东北风,1,3,973,61,7.1,0
2024-01-05 00:00,晴,2.5,0,东北风,1,3,973,61,7.1,0
2024-01-05 01:00,晴,1.5,0,西北风,1,4,974,58,8.5,0
2024-01-05 02:00,晴,1.1,0,西北风,1,4,974,58,8.5,0
2024-01-05 03:00,晴,0.5,0,东北风,1,5,974,60,10.1,0
2024-01-05 04:00,晴,0.2,0,东北风,1,4,974,61,11.9,0
2024-01-05 05:00,晴,0.5,0,西风,1,4,975,58,14.1,0
2024-01-05 06:00,晴,-0.5,0,西北风,1,2,976,64,11.8,0
2024-01-05 07:00,晴,-0.5,0,南风,1,1,977,65,11.6,0
2024-01-05 08:00,晴,-0.3,0,南风,2,8,977,65,7.6,0
2024-01-05 09:00,晴,0.7,0,东北风,1,1,978,67,7.3,0
2024-01-05 10:00,晴,4.1,0,西北风,1,2,979,57,9.5,0
2024-01-05 11:00,晴,5.7,0,西北风,1,2,979,57,9.5,0
2024-01-05 12:00,晴,7.3,0,西南风,1,4,978,52,7.6,0
2024-01-05 13:00,晴,8.4,0,西南风,2,9,976,40,8.1,0
2024-01-05 14:00,晴,9.7,0,南风,2,6,975,35,9.8,0
2024-01-05 15:00,晴,9.6,0,西南风,1,5,974,31,9.9,4
2024-01-05 16:00,晴,9.7,0,西南风,2,7,974,30,11.4,0
2024-01-05 17:00,多云,8.8,0,西风,1,4,974,33,11.3,43
2024-01-05 18:00,多云,8.5,0,西风,2,8,974,32,11,32
2024-01-05 19:00,晴,7.1,0,西风,2,6,975,33,12.5,16
2024-01-05 20:00,晴,6.4,0,西南风,2,6,976,37,13.2,0
2024-01-05 21:00,晴,5.5,0,西南风,2,6,976,39,13.9,0
2024-01-05 22:00,晴,3.3,0,静风,0,1,976,45,13,0
