建筑对,源域,目标域,K,alpha,经验熵适应度,源域经验熵,目标域经验熵,加权DTW,原始DTW
南阶-环工,南阶,环工,3,927.82,3.0763,3.0717,3.0808,3.1839,8.3376
西阶-环工,环工,西阶,3,2239.78,2.85,3.0254,2.6746,4.5443,12.705
南阶-粉体,南阶,粉体,3,927.82,3.054,3.0717,3.0364,5.09,11.7971
南阶-西阶,南阶,西阶,4,4861.48,2.8861,3.0201,2.752,5.2471,12.8854
环工-粉体,环工,粉体,3,852.25,3.0548,3.0742,3.0354,5.3985,12.0996
西阶-土木,土木,西阶,2,2239.78,2.8909,3.1074,2.6744,8.5141,11.7303
南阶-土木,南阶,土木,4,563.62,3.0861,3.0409,3.1313,13.044,17.7046
环工-土木,环工,土木,3,2239.78,3.0864,3.0254,3.1474,14.4701,18.1095
西阶-粉体,粉体,西阶,2,2239.78,2.8746,3.0748,2.6744,15.9567,16.1579
土木-粉体,土木,粉体,3,852.25,3.087,3.1386,3.0354,17.89,20.1768
